DateTime,AddedIPs,RemovedIPs
1478477522,0,1
1478479321,1,2
1478480521,0,5
1478481121,0,6
1478482922,0,1
1478484122,1,0
1478485321,0,20
1478486521,0,4
1478487721,0,16
1478488922,0,8
1478490727,0,1
1478491322,0,12
1478494323,0,1
1478494921,0,16
1478497322,0,2
1478497921,0,1
1478498521,1,0
1478499721,0,7
1478500922,1,1
1478501522,1,1
1478502122,0,6
1478504522,1,4
1478505721,0,15
1478506922,0,4
1478509322,0,4
1478509921,0,1
1478510521,0,1
1478512922,2,5
1478514122,1,3
1478515922,0,4
1478516521,0,11
1478517122,2,0
1478518921,1,5
1478520122,1,1
1478521322,0,1
1478522521,1,4
1478523122,1,0
1478524922,0,1
1478525521,0,2
1478526722,0,5
1478527322,0,1
1478528522,1,1
1478529721,0,10
1478530921,0,1
1478534522,0,12
1478535121,0,1
1478535721,3,0
1478536921,0,2
1478538722,1,0
1478540521,0,6
1478541721,0,2
1478545321,1,0
1478545922,0,11
1478546522,0,8
1478547721,0,2
1478548922,0,1
1478550121,0,3
1478551322,0,8
1478552522,0,2
1478554322,1,0
1478555522,1,0
1478556121,2,13
1478558522,8,0
1478559121,14,0
1478559721,2,2
1478560921,15,7
1478561522,3,0
1478562121,0,2
1478562721,1,0
1478563321,2,0
1478563922,4,1
1478564522,1,4
1478565121,1,0
1478565722,2,0
1478566322,1,26
1478567521,2,1
1478569322,0,8
1478569921,0,2
1478570521,1,0
1478571121,1,0
1478572321,0,4
1478572922,0,3
1478574121,0,5
1478574721,1,1
1478575921,0,2
1478576521,0,9
1478577122,2,3
1478577721,1,0
1478578922,0,1
1478579522,0,4
1478580122,1,0
1478581321,0,3
1478582522,0,2
1478583122,0,12
1478583721,0,1
1478584321,0,7
1478584921,0,2
1478587322,0,33
1478588521,0,1
1478590321,1,2
1478591521,0,1
1478593321,1,0
1478594521,40,5
1478596922,1,0
1478597522,0,2
1478598722,1,8
1478599321,0,1
1478600521,0,1
1478601122,0,1
1478601721,0,1
1478602322,0,3
1478602922,0,1
1478604721,0,1
1478605321,22,0
1478605921,0,6
1478607122,0,1
1478610121,0,1
1478611321,2,0
1478614321,0,2
1478614922,0,11
1478617321,0,2
1478618522,0,2
1478619722,0,8
1478620322,0,2
1478622121,0,2
1478622722,1,0
1478623321,0,5
1478623921,0,3
1478625122,0,1
1478626921,1,0
1478629921,0,1
1478630521,0,1
1478631721,0,4
1478632921,1,0
1478633522,1,0
1478634122,0,4
1478635321,4,2
1478638921,0,3
1478640121,1,0
1478640721,1,4
1478641322,2,0
1478641921,2,0
1478643121,0,2
1478643722,0,2
1478644321,6,0
1478644921,1,3
1478646121,4,2
1478647921,1,6
1478649122,1,2
1478649721,0,2
1478650921,2,2
1478652121,1,4
1478652722,1,1
1478653322,0,1
1478655721,0,9
1478656321,0,1
1478656921,0,6
1478658121,0,5
1478659322,2,1
1478659921,0,1
1478660522,0,2
1478661722,0,5
1478663522,0,2
1478665322,0,4
1478665921,0,1
1478667722,1,1
1478668322,5,0
1478670122,0,1
1478670722,0,2
1478671322,0,4
1478672521,0,7
1478674321,0,3
1478674921,1,2
1478675521,3,12
1478676121,0,2
1478677322,3,5
1478677921,0,4
1478678521,1,1
1478679121,1,2
1478679721,0,4
1478681521,0,2
1478683322,0,10
1478685121,0,3
1478685722,0,4
1478686922,0,2
1478688122,0,1
1478689322,3,1
1478691121,0,4
1478692321,0,1
1478692922,1,0
1478694121,0,1
1478695921,0,2
1478697122,0,1
1478697722,0,1
1478698922,1,0
1478700122,1,12
1478700722,0,1
1478701921,0,1
1478702522,0,1
1478704922,0,6
1478707321,0,1
1478709722,2,16
1478710321,0,3
1478710921,4,1
1478711522,1,3
1478713321,0,1
1478715122,3,9
1478715722,0,3
1478717521,0,3
1478718722,0,2
1478720522,2,7
1478721722,0,1
1478722921,0,3
1478724122,3,1
1478725322,2,1
1478725926,1,4
1478726522,0,4
1478727121,1,0
1478727722,0,2
1478728921,3,1
1478730121,1,1
1478732522,0,2
1478735522,0,2
1478736121,0,2
1478736721,0,1
1478737922,0,5
1478738522,2,3
1478742122,2,0
1478743321,0,1
1478743922,0,2
1478744521,0,13
1478745721,0,1
1478746922,0,2
1478749321,1,1
1478750522,0,1
1478751722,0,2
1478754722,0,1
1478755322,0,3
1478756521,0,1
1478757122,1,2
1478758922,1,13
1478760122,5,1
1478760722,0,1
1478761921,1,0
1478763121,0,1
1478767321,0,2
1478769122,0,2
1478770922,0,11
1478771522,4,0
1478772721,0,5
1478773321,0,1
1478774522,1,0
1478775722,3,0
1478776322,0,1
1478776922,1,0
1478777521,2,1
1478779921,0,18
1478780521,0,1
1478782322,0,2
1478785321,0,1
1478787122,0,3
1478788922,0,5
1478790122,1,0
1478793721,0,8
1478800322,0,1
1478805722,0,1
1478808121,0,1
1478809321,0,2
1478810522,0,4
1478811121,0,2
1478814721,1,3
1478815321,0,9
1478817722,0,4
1478818921,0,3
1478820122,1,0
1478821921,0,6
1478822522,0,2
1478823121,0,2
1478825522,0,3
1478828521,0,1
1478829122,0,1
1478829721,0,2
1478832123,0,16
1478833321,0,1
1478833922,0,2
1478834522,2,0
1478835722,0,1
1478838121,0,7
1478839321,1,0
1478839921,0,3
1478840522,0,4
1478842321,0,1
1478844122,1,0
1478845322,0,12
1478847721,0,1
1478848322,0,2
1478849522,0,1
1478850722,1,0
1478857922,1,0
1478858522,1,0
1478859722,1,1
1478862122,0,2
1478862722,0,13
1478863922,0,1
1478865722,0,8
1478866922,0,2
1478868122,0,1
1478868722,0,1
1478871722,0,5
1478878321,1,2
1478880122,0,4
1478880721,0,2
1478881321,0,2
1478886122,0,11
1478887321,0,1
1478888522,1,0
1478890921,1,0
1478892121,1,3
1478894521,0,1
1478895122,4,0
1478896322,1,0
1478896922,1,0
1478899322,0,3
1478903522,0,2
1478904122,1,0
1478905322,23,0
1478906522,45,3
1478907721,10,2
1478908321,2,0
1478909522,1,1
1478910122,0,2
1478911322,0,19
1478912522,2,0
1478913721,0,1
1478916122,1,3
1478917921,0,1
1478918521,0,1
1478920321,0,1
1478920922,0,1
1478921521,1,5
1478922722,1,0
1478924522,0,1
1478928121,0,3
1478930521,0,2
1478932922,0,23
1478935322,1,0
1478936521,0,3
1478937722,0,4
1478938922,0,1
1478941321,0,5
1478942521,0,1
1478943121,0,1
1478943721,0,10
1478944922,0,1
1478945522,3,3
1478946122,0,2
1478947321,0,1
1478948522,0,5
1478950922,31,0
1478952722,3,4
1478953321,1,0
1478953921,0,1
1478954521,0,1
1478956321,0,1
1478958722,1,0
1478959322,1,0
1478959921,1,0
1478960522,0,19
1478961122,0,1
1478961721,0,1
1478965321,0,6
1478966522,0,1
1478968921,0,1
1478969522,0,10
1478970121,0,3
1478971321,0,1
1478972522,1,0
1478974921,0,9
1478977321,0,1
1478979121,0,4
1478979721,0,1
1478981522,0,1
1478982121,1,0
1478982721,1,3
1478983321,0,1
1478983922,1,0
1478984522,0,7
1478986922,1,0
1478989321,0,3
1478991122,0,1
1478991721,0,3
1478992921,1,2
1478993522,1,0
1478994122,0,2
1478995322,0,9
1478995921,1,0
1478997121,1,1
1478997722,0,13
1478998323,1,0
1479000122,0,1
1479001322,0,2
1479001922,1,0
1479002521,0,4
1479003721,0,2
1479006722,0,8
1479008522,0,4
1479010322,0,7
1479011522,0,1
1479015122,1,2
1479018122,0,1
1479018723,1,0
1479019321,1,2
1479020522,0,12
1479021122,0,1
1479021721,0,1
1479023521,1,3
1479024722,1,0
1479025921,0,1
1479027721,0,1
1479028921,0,5
1479031321,0,3
1479032522,0,18
1479033721,1,2
1479034922,0,1
1479037322,1,22
1479037921,1,0
1479042122,2,0
1479049321,2,0
1479051721,0,4
1479052921,0,3
1479054121,0,1
1479054721,1,0
1479055921,0,1
1479056522,0,6
1479057122,1,0
1479057722,1,11
1479061321,0,9
1479064321,0,1
1479066122,2,0
1479066721,2,0
1479067922,1,15
1479068521,0,1
1479069721,0,2
1479072722,3,0
1479073322,0,11
1479074522,0,1
1479075721,0,3
1479076921,1,1
1479078121,0,2
1479080522,0,2
1479081122,0,3
1479082323,1,1
1479082921,0,2
1479084121,0,6
1479084721,0,1
1479085332,0,1
1479085922,0,1
1479087121,0,6
1479088322,0,4
1479091322,0,6
1479092521,1,0
1479093722,0,4
1479095522,0,4
1479097921,0,2
1479098522,19,0
1479099121,0,10
1479100322,3,0
1479100921,2,0
1479103322,0,14
1479104521,1,0
1479105122,2,6
1479108141,0,3
1479108722,1,0
1479110522,0,10
1479111122,9,0
1479112922,1,0
1479114122,1,0
1479114721,0,6
1479115321,2,2
1479116521,1,0
1479118922,1,0
1479119522,2,0
1479120121,4,0
1479120722,0,3
1479122521,0,2
1479123122,0,1
1479123722,2,0
1479124322,0,1
1479124922,3,0
1479125521,2,0
1479126121,1,1
1479127321,0,3
1479127922,2,0
1479129722,0,23
1479132121,0,1
1479133321,0,1
1479133922,1,0
1479135122,0,6
1479135722,0,2
1479138122,0,2
