DateTime,AddedIPs,RemovedIPs
1478547373,2,1
1478547850,8,2
1478548342,1,0
1478548825,0,1
1478549299,1,1
1478549774,1,0
1478550736,0,1
1478551212,1,0
1478555537,0,1
1478556026,1,0
1478557458,0,1
1478557934,1,0
1478562026,1,1
1478564896,0,1
1478565370,1,0
1478566848,0,2
1478567293,2,0
1478567775,0,1
1478568251,1,0
1478568744,0,1
1478570170,0,1
1478570655,1,0
1478573293,0,1
1478573775,1,1
1478574256,1,0
1478576175,0,1
1478576657,1,0
1478577651,0,1
1478578093,1,0
1478580011,0,1
1478580499,1,0
1478580970,0,1
1478581457,1,0
1478581932,0,1
1478582419,0,1
1478582890,1,0
1478584572,0,1
1478585053,1,0
1478587457,1,0
1478587931,0,1
1478588653,1,0
1478589136,1,0
1478589612,0,1
1478590097,2,0
1478590570,1,0
1478591055,1,1
1478591545,1,0
1478595626,0,1
1478596097,1,0
1478596570,0,1
1478597053,1,0
1478597531,0,1
1478598015,1,0
1478601854,0,1
1478602331,1,0
1478604011,0,1
1478604499,1,0
1478604973,1,1
1478606893,0,1
1478610735,0,1
1478611216,18,0
1478612176,1,1
1478612651,1,0
1478613133,0,1
1478613621,1,1
1478614092,1,0
1478617935,0,1
1478618413,1,0
1478618894,0,1
1478619370,3,1
1478619857,9,0
1478622256,1,1
1478627546,0,1
1478628022,9,0
1478628492,2,0
1478630892,0,1
1478631376,1,0
1478636652,0,1
1478638572,2,3
1478639056,1,0
1478639533,0,1
1478640015,1,0
1478640492,1,0
1478642897,0,1
1478643373,1,0
1478644335,0,1
1478650337,0,1
1478650813,1,1
1478651293,1,0
1478651770,0,2
1478652255,2,0
1478653931,1,1
1478654430,1,2
1478654893,1,1
1478655376,1,0
1478656333,0,1
1478658013,0,1
1478658492,1,1
1478658975,1,1
1478659453,1,0
1478660446,0,1
1478660901,1,1
1478661372,1,0
1478663292,0,1
1478663769,1,0
1478664251,0,1
1478664733,1,2
1478665212,2,0
1478668816,0,1
1478669290,1,2
1478669776,2,0
1478672172,0,1
1478675052,26,1
1478675547,1,0
1478676497,1,0
1478678657,1,0
1478679611,1,0
1478681535,0,1
1478682036,1,0
1478683937,0,1
1478684413,1,0
1478690908,0,1
1478691370,1,0
1478694985,0,1
1478695450,1,0
1478696422,1,1
1478697854,0,1
1478698335,1,0
1478699772,0,1
1478700253,1,0
1478701693,0,1
1478702173,1,2
1478702654,1,0
1478707934,12,0
1478708423,26,0
1478708894,26,0
1478709375,31,0
1478709850,30,0
1478710335,7,1
1478711051,1,1
1478711534,1,0
1478712972,0,1
1478716336,0,1
1478717295,0,1
1478717771,1,0
1478718252,1,1
1478718734,1,0
1478719221,0,1
1478719691,1,0
1478721139,1,0
1478725694,0,1
1478726176,1,0
1478729295,0,1
1478729780,1,0
1478732654,0,1
1478733375,1,1
1478733851,1,1
1478734331,1,1
1478734814,1,1
1478735297,1,0
